Weights,1,2,3,4,5,6,7,8,,1_w,2_w,3_w,4_w,5_w,6_w,7_w,8_w
0,0.007061203,-0.001350007,0.002436363,0.013398392,0.020586733,0.018436447,0.017026726,0.041816512,,0.00E+00,-9.53E-06,-3.29E-06,3.26E-05,2.76E-04,3.80E-04,3.14E-04,7.12E-04
0,0.019215228,0.023591657,0.034065565,0.015213,0.038817977,0.016399905,0.02873504,0.02098334,,0.00E+00,4.53E-04,8.04E-04,5.18E-04,5.91E-04,6.37E-04,4.71E-04,6.03E-04
0,0.013235605,0.015697122,0.03529744,0.011781043,0.031763085,0.01235818,0.029206985,0.021091876,,0.00E+00,2.08E-04,5.54E-04,4.16E-04,3.74E-04,3.93E-04,3.61E-04,6.16E-04
0,0.002724812,-0.002633334,0.002842065,0.013702542,0.021280058,0.02018203,0.019457695,0.046984229,,0.00E+00,-7.18E-06,-7.48E-06,3.89E-05,2.92E-04,4.29E-04,3.93E-04,9.14E-04
3.87E-14,0.008382571,0.000871451,0.005397583,0.01494429,0.020916675,0.018804083,0.017218017,0.044203469,,3.24E-16,7.30E-06,4.70E-06,8.07E-05,3.13E-04,3.93E-04,3.24E-04,7.61E-04
2.78E-14,0.018963007,0.021464765,0.039953204,0.015043588,0.032850663,0.011802387,0.026254034,0.018050651,,5.27E-16,4.07E-04,8.58E-04,6.01E-04,4.94E-04,3.88E-04,3.10E-04,4.74E-04
0,0.000519487,-0.006742973,0.000802637,0.011700463,0.023405918,0.02293552,0.0211499,0.046239069,,0.00E+00,-3.50E-06,-5.41E-06,9.39E-06,2.74E-04,5.37E-04,4.85E-04,9.78E-04
8.56E-14,0.019288574,0.002223986,0.008310781,0.014869283,0.0248212,0.019839089,0.014512831,0.033378631,,1.65E-15,4.29E-05,1.85E-05,1.24E-04,3.69E-04,4.92E-04,2.88E-04,4.84E-04
1.82E-14,0.010421052,0.01465877,0.033570232,0.009433857,0.030255316,0.007080392,0.023546299,0.013832577,,1.90E-16,1.53E-04,4.92E-04,3.17E-04,2.85E-04,2.14E-04,1.67E-04,3.26E-04
0,0.002949251,-0.000128864,0.00649347,0.017160223,0.023453952,0.018883839,0.020227868,0.046230903,,0.00E+00,-3.80E-07,-8.37E-07,1.11E-04,4.02E-04,4.43E-04,3.82E-04,9.35E-04
0,0.003026121,-0.007681957,-0.003264619,0.005543813,0.018931139,0.02225314,0.018397094,0.036672931,,0.00E+00,-2.32E-05,2.51E-05,-1.81E-05,1.05E-04,4.21E-04,4.09E-04,6.75E-04
0,0.01699997,-0.001537728,0.001535423,0.006822062,0.019200393,0.020521109,0.013280493,0.027696286,,0.00E+00,-2.61E-05,-2.36E-06,1.05E-05,1.31E-04,3.94E-04,2.73E-04,3.68E-04
0,0.019345924,0.02368174,0.042462413,0.019593183,0.036874194,0.012661448,0.022883023,0.01314073,,0.00E+00,4.58E-04,1.01E-03,8.32E-04,7.22E-04,4.67E-04,2.90E-04,3.01E-04
5.77E-14,0.008233971,-0.002204376,0.000459058,0.008268623,0.017546748,0.019516335,0.015974463,0.036011217,,4.75E-16,-1.82E-05,-1.01E-06,3.80E-06,1.45E-04,3.42E-04,3.12E-04,5.75E-04
2.66E-14,0.013183723,-0.004618385,-0.000546251,0.004812522,0.019125185,0.022709127,0.014985006,0.030453537,,3.51E-16,-6.09E-05,2.52E-06,-2.63E-06,9.20E-05,4.34E-04,3.40E-04,4.56E-04
0,0.011988317,-0.002815122,-0.000266625,0.009430613,0.025073022,0.025543903,0.021484155,0.034141475,,0.00E+00,-3.37E-05,7.51E-07,-2.51E-06,2.36E-04,6.40E-04,5.49E-04,7.34E-04
0,0.028111915,0.005931304,0.004594161,0.012092277,0.026408124,0.026916265,0.019258749,0.028101928,,0.00E+00,1.67E-04,2.72E-05,5.56E-05,3.19E-04,7.11E-04,5.18E-04,5.41E-04
7.39E-14,0.015094965,0.019583965,0.019680943,0.012214914,0.03531462,0.01035388,0.024429086,0.01326786,,1.12E-15,2.96E-04,3.85E-04,2.40E-04,4.31E-04,3.66E-04,2.53E-04,3.24E-04
1.33E-14,0.022826075,0.008752011,0.005413386,0.014263726,0.023676114,0.0221692,0.01920413,0.030467481,,3.04E-16,2.00E-04,4.74E-05,7.72E-05,3.38E-04,5.25E-04,4.26E-04,5.85E-04
0,0.023119078,0.002366958,0.003224431,0.011034219,0.02783174,0.029668204,0.02193458,0.031811749,,0.00E+00,5.47E-05,7.63E-06,3.56E-05,3.07E-04,8.26E-04,6.51E-04,6.98E-04
0,0.021563952,0.000322925,-0.000952807,0.005437057,0.021669314,0.027204024,0.018625756,0.026551939,,0.00E+00,6.96E-06,-3.08E-07,-5.18E-06,1.18E-04,5.89E-04,5.07E-04,4.95E-04
1.10E-14,0.011515673,0.015602951,2.76E-05,0.016702355,0.022644215,0.036818181,0.015985265,0.03404465,,1.27E-16,1.80E-04,4.31E-07,4.62E-07,3.78E-04,8.34E-04,5.89E-04,5.44E-04
